application_id,opening_id,applicant_name,application_date,stage,source,demographic,outcome
APP00092,OPEN0006,Robert Dawson,3/7/2019,Applied,LinkedIn,Asian,Pending
APP00093,OPEN0006,Meredith Crosby,3/15/2019,Applied,LinkedIn,Black,Pending
APP00094,OPEN0006,Steven Spence,2/20/2019,Applied,LinkedIn,Asian,Pending
APP00095,OPEN0006,Christina Gonzales,3/14/2019,Interview,LinkedIn,White,Pending
APP00096,OPEN0006,Maria Foster,2/26/2019,Applied,LinkedIn,Asian,Pending
APP00097,OPEN0006,Scott Martinez,2/22/2019,Interview,LinkedIn,White,Pending
APP00098,OPEN0006,Amanda Morton,2/21/2019,Applied,LinkedIn,White,Pending
APP00099,OPEN0006,Mary Nelson MD,2/28/2019,Screen,LinkedIn,Hispanic,Pending
APP00100,OPEN0006,Andrew Cruz,2/28/2019,Applied,LinkedIn,White,Pending
APP00101,OPEN0006,Joseph Clark,3/5/2019,Applied,LinkedIn,White,Pending
APP00102,OPEN0006,Charles Cole,2/21/2019,Applied,LinkedIn,Black,Pending
APP00103,OPEN0006,Maria Williams,3/4/2019,Applied,LinkedIn,White,Pending
APP00104,OPEN0006,Jennifer Sullivan,3/13/2019,Applied,LinkedIn,Black,Pending
APP00105,OPEN0007,Johnny Jennings,8/6/2020,Applied,Indeed,Hispanic,Pending
APP00106,OPEN0007,Christine Collins,8/19/2020,Applied,Indeed,White,Pending
APP00107,OPEN0007,Jeffrey Herrera,8/15/2020,Applied,Indeed,Black,Pending
APP00108,OPEN0007,Kenneth Gallegos,8/9/2020,Screen,Indeed,Black,Pending
APP00109,OPEN0007,Autumn Murray,8/15/2020,Interview,Indeed,White,Pending
APP00110,OPEN0007,Kimberly Francis,8/13/2020,Interview,Indeed,White,Pending
APP00111,OPEN0007,Mariah Nash,8/7/2020,Interview,Indeed,White,Pending
APP00112,OPEN0007,Christina Dennis,8/11/2020,Applied,Indeed,Asian,Pending
APP00113,OPEN0007,Eric Barnett,8/29/2020,Applied,Indeed,White,Pending
APP00114,OPEN0007,Mary Vaughan,8/25/2020,Screen,Indeed,White,Pending
APP00115,OPEN0007,Steven Gardner,8/20/2020,Applied,Indeed,Black,Pending
APP00116,OPEN0007,Christina Miles,8/12/2020,Applied,Indeed,Hispanic,Pending
APP00117,OPEN0007,Lori Moses,8/12/2020,Applied,Indeed,White,Pending
APP00118,OPEN0007,Devon Rogers,8/16/2020,Screen,Indeed,White,Pending
APP00119,OPEN0007,Christopher Brown,8/9/2020,Screen,Indeed,White,Pending
APP00120,OPEN0007,Cynthia Parker,8/16/2020,Screen,Indeed,Black,Pending
APP00121,OPEN0007,Joseph Cummings,8/18/2020,Applied,Indeed,White,Pending
APP00122,OPEN0007,Matthew Gibbs,8/18/2020,Applied,Indeed,White,Pending
APP00123,OPEN0007,Cory Dalton,8/31/2020,Interview,Indeed,White,Pending
APP00124,OPEN0007,Karen Hall,8/7/2020,Applied,Indeed,Black,Pending
APP00125,OPEN0007,Matthew Wallace,8/7/2020,Screen,Indeed,Black,Pending
APP00126,OPEN0008,Jessica Logan,12/27/2023,Screen,Indeed,Black,Pending
APP00127,OPEN0008,Michael Mccormick,1/11/2024,Screen,Indeed,Hispanic,Pending
APP00128,OPEN0008,Maria Green,1/14/2024,Screen,Indeed,Black,Pending
APP00129,OPEN0008,Sheri Snow,1/14/2024,Interview,Indeed,White,Pending
APP00130,OPEN0008,Matthew Lara,12/31/2023,Interview,Indeed,Asian,Pending
APP00131,OPEN0008,Christopher Gonzalez,1/9/2024,Interview,Indeed,Black,Pending
APP00132,OPEN0008,Paul Hart,1/7/2024,Screen,Indeed,White,Pending
APP00133,OPEN0008,Mrs. Amy Herrera,12/23/2023,Applied,Indeed,Black,Pending
APP00134,OPEN0008,Brianna Haney,12/23/2023,Interview,Indeed,White,Pending
APP00135,OPEN0008,Danielle Johnson,12/31/2023,Applied,Indeed,White,Pending
APP00136,OPEN0008,Emily Haynes,1/14/2024,Applied,Indeed,Asian,Pending
APP00137,OPEN0008,Michael Kane,1/13/2024,Applied,Indeed,Asian,Pending
APP00138,OPEN0008,Derrick Perez,1/16/2024,Offer,Indeed,Asian,Pending
APP00139,OPEN0008,Audrey Hamilton,1/20/2024,Applied,Indeed,Asian,Pending
APP00140,OPEN0008,Kayla Douglas,1/13/2024,Applied,Indeed,White,Pending
APP00141,OPEN0008,Richard Rice,12/27/2023,Applied,Indeed,White,Pending
APP00142,OPEN0008,Catherine Long,12/28/2023,Screen,Indeed,White,Pending
APP00143,OPEN0008,Caroline Bell,12/28/2023,Screen,Indeed,Hispanic,Pending
APP00144,OPEN0008,Robert Johnson,1/17/2024,Interview,Indeed,White,Pending
APP00145,OPEN0008,Sarah Sexton,12/25/2023,Screen,Indeed,Asian,Pending
APP00146,OPEN0008,Jodi Macdonald,12/24/2023,Applied,Indeed,Black,Pending
APP00147,OPEN0009,Joshua Freeman,11/26/2019,Screen,Company Website,White,Pending
APP00148,OPEN0009,Jennifer Moyer,12/2/2019,Interview,Company Website,Hispanic,Pending
APP00149,OPEN0009,Jason Ross,11/16/2019,Applied,Company Website,Black,Pending
APP00150,OPEN0009,Morgan Butler,11/16/2019,Screen,Company Website,White,Pending
APP00151,OPEN0009,Natalie Miles,12/2/2019,Interview,Company Website,White,Pending
APP00152,OPEN0009,Jeffrey Miller,11/8/2019,Offer,Company Website,Asian,Pending
APP00153,OPEN0009,Alicia Hill,11/17/2019,Interview,Company Website,White,Pending
APP00154,OPEN0009,William Marshall,11/21/2019,Applied,Company Website,Black,Pending
APP00155,OPEN0009,Alyssa Alvarez,11/26/2019,Interview,Company Website,Black,Pending
APP00156,OPEN0009,Joseph Wiley,11/19/2019,Hired,Company Website,Hispanic,Hired
APP00157,OPEN0009,Mrs. Danielle Nguyen MD,11/9/2019,Screen,Company Website,White,Pending
APP00158,OPEN0009,Lauren Gilbert,11/28/2019,Screen,Company Website,Black,Pending
APP00159,OPEN0009,Rebecca Rodriguez,11/26/2019,Interview,Company Website,White,Pending
APP00160,OPEN0009,Maria Jones,11/29/2019,Interview,Company Website,White,Pending
APP00161,OPEN0009,Lisa Herring,11/11/2019,Applied,Company Website,Hispanic,Pending
APP00162,OPEN0009,Barbara Haas PhD,11/12/2019,Offer,Company Website,Asian,Pending
APP00163,OPEN0009,Mallory Watkins,11/9/2019,Interview,Company Website,Asian,Pending
APP00164,OPEN0009,Stephen Jacobs,11/18/2019,Interview,Company Website,Asian,Pending
APP00165,OPEN0009,Kelsey Barnes,11/10/2019,Applied,Company Website,White,Pending
APP00166,OPEN0009,Roger Hughes,11/21/2019,Applied,Company Website,White,Pending
APP00167,OPEN0009,Brittany Medina,11/14/2019,Screen,Company Website,White,Pending
APP00168,OPEN0009,Richard Tyler,11/27/2019,Interview,Company Website,White,Pending
APP00169,OPEN0010,Justin Barker,2/22/2023,Applied,LinkedIn,Hispanic,Pending
APP00170,OPEN0010,Bruce Frye,3/1/2023,Applied,LinkedIn,White,Pending
APP00171,OPEN0010,Nicole Simpson,3/4/2023,Applied,LinkedIn,White,Pending
APP00172,OPEN0010,Michelle Valentine,3/4/2023,Interview,LinkedIn,White,Pending
APP00173,OPEN0010,Frank Martinez,2/23/2023,Applied,LinkedIn,White,Pending
APP00174,OPEN0010,Daniel Curry,3/14/2023,Interview,LinkedIn,White,Pending
APP00175,OPEN0010,Ray Mckinney,3/17/2023,Screen,LinkedIn,Asian,Pending
APP00176,OPEN0010,Brenda Vance,3/8/2023,Screen,LinkedIn,White,Pending
APP00177,OPEN0010,Manuel Burns,2/27/2023,Applied,LinkedIn,Asian,Pending
APP00178,OPEN0010,Jason Guzman,2/20/2023,Screen,LinkedIn,Hispanic,Pending
APP00179,OPEN0010,Megan Vance,2/25/2023,Applied,LinkedIn,Black,Pending
APP00180,OPEN0010,Erica Powers,3/12/2023,Screen,LinkedIn,White,Pending
APP00181,OPEN0010,Crystal Armstrong,3/1/2023,Applied,LinkedIn,Asian,Pending
APP00182,OPEN0010,Michelle English,2/19/2023,Applied,LinkedIn,White,Pending
APP00183,OPEN0010,Tina Leonard,3/11/2023,Applied,LinkedIn,White,Pending
APP00184,OPEN0010,Holly Lloyd,3/7/2023,Interview,LinkedIn,White,Pending
APP00185,OPEN0010,Karen Smith,2/19/2023,Screen,LinkedIn,White,Pending
APP00186,OPEN0010,Paul Stone,3/15/2023,Interview,LinkedIn,White,Pending
APP00187,OPEN0010,Julia Copeland,3/6/2023,Applied,LinkedIn,White,Pending
APP00188,OPEN0010,Benjamin Cantu,3/1/2023,Screen,LinkedIn,Asian,Pending
APP00189,OPEN0010,Sarah Petersen,3/10/2023,Interview,LinkedIn,White,Pending
APP00190,OPEN0010,Adrian Figueroa,2/28/2023,Applied,LinkedIn,Asian,Pending
APP00191,OPEN0010,Danny Moran,3/6/2023,Screen,LinkedIn,White,Pending
APP00192,OPEN0010,Christina Smith,2/27/2023,Interview,LinkedIn,Black,Pending
APP00193,OPEN0010,Angela Henry,3/8/2023,Offer,LinkedIn,Asian,Pending
APP00194,OPEN0010,Erin Hicks,3/17/2023,Applied,LinkedIn,Asian,Pending
APP00195,OPEN0010,Dylan Simpson,3/17/2023,Offer,LinkedIn,Black,Pending
APP00196,OPEN0010,Jacqueline Hernandez,3/18/2023,Hired,LinkedIn,White,Hired
APP00197,OPEN0010,Michelle Rodriguez,3/12/2023,Interview,LinkedIn,White,Pending
APP00198,OPEN0010,Tina Castro,3/15/2023,Applied,LinkedIn,Black,Pending
APP00199,OPEN0011,Megan Garcia,4/7/2019,Screen,Campus,Hispanic,Pending
APP00200,OPEN0011,Antonio Kane,4/5/2019,Applied,Campus,White,Pending
APP00201,OPEN0011,Theresa Rivera,4/19/2019,Applied,Campus,White,Pending
APP00202,OPEN0011,Steven Clark,4/20/2019,Applied,Campus,Asian,Pending
APP00203,OPEN0011,Darryl Alexander,4/8/2019,Screen,Campus,White,Pending
APP00204,OPEN0011,Steven Haley,4/6/2019,Applied,Campus,White,Pending
APP00205,OPEN0011,Donald Moore,4/20/2019,Screen,Campus,White,Pending
APP00206,OPEN0011,Stacy Rose,4/26/2019,Applied,Campus,White,Pending
APP00207,OPEN0011,Brian Riley,4/28/2019,Applied,Campus,White,Pending
APP00208,OPEN0011,Brenda Gonzales,4/16/2019,Interview,Campus,White,Pending
APP00209,OPEN0011,Rebecca Hernandez,4/23/2019,Applied,Campus,Hispanic,Pending
APP00210,OPEN0011,Jessica Green,4/20/2019,Screen,Campus,White,Pending
APP00211,OPEN0011,Charles Stephens,4/19/2019,Screen,Campus,White,Pending
APP00212,OPEN0011,Victor Lewis,4/7/2019,Interview,Campus,Asian,Pending
APP00213,OPEN0011,Laurie Lamb,5/4/2019,Applied,Campus,Hispanic,Pending
APP00214,OPEN0012,Christopher Washington,6/6/2023,Applied,LinkedIn,Black,Pending
APP00215,OPEN0012,Amanda Phillips,5/27/2023,Applied,LinkedIn,White,Pending
APP00216,OPEN0012,Kristin Williams,5/26/2023,Screen,LinkedIn,White,Pending
APP00217,OPEN0012,Diane Graham,6/11/2023,Applied,LinkedIn,Black,Pending
APP00218,OPEN0012,Brian Drake,5/27/2023,Offer,LinkedIn,Black,Pending
APP00219,OPEN0012,Jill Travis,6/9/2023,Applied,LinkedIn,Asian,Pending
APP00220,OPEN0012,Elizabeth Gomez,6/3/2023,Interview,LinkedIn,White,Pending
APP00221,OPEN0012,Sandy Green,6/12/2023,Screen,LinkedIn,White,Pending
APP00222,OPEN0012,Mary Clark,5/26/2023,Applied,LinkedIn,White,Pending
APP00223,OPEN0012,Sharon Olson,5/22/2023,Interview,LinkedIn,Black,Pending
APP00224,OPEN0012,Jason Matthews,6/17/2023,Applied,LinkedIn,White,Pending
APP00225,OPEN0012,Tonya Schultz,6/13/2023,Interview,LinkedIn,White,Pending
APP00226,OPEN0012,Jessica Murray,5/26/2023,Screen,LinkedIn,Black,Pending
APP00227,OPEN0012,Shane Burch,6/3/2023,Interview,LinkedIn,White,Pending
APP00228,OPEN0012,Mrs. Natalie Brewer DDS,5/27/2023,Interview,LinkedIn,Black,Pending
APP00229,OPEN0012,Vanessa Walker,6/3/2023,Applied,LinkedIn,White,Pending
APP00230,OPEN0012,Amanda Lucas,5/31/2023,Screen,LinkedIn,Black,Pending
APP00231,OPEN0012,Jordan Nelson,5/28/2023,Offer,LinkedIn,White,Pending
APP00232,OPEN0012,Jonathon Bailey,6/2/2023,Applied,LinkedIn,Black,Pending
APP00233,OPEN0012,John Nichols,6/8/2023,Applied,LinkedIn,White,Pending
APP00234,OPEN0012,Sara Fitzgerald,6/16/2023,Applied,LinkedIn,White,Pending
APP00235,OPEN0012,Sarah Wright,5/31/2023,Screen,LinkedIn,White,Pending
APP00236,OPEN0012,Chelsea Bird,5/25/2023,Applied,LinkedIn,White,Pending
APP00237,OPEN0012,Julie Glass,6/17/2023,Interview,LinkedIn,White,Pending
APP00238,OPEN0012,Daniel Collins PhD,6/6/2023,Applied,LinkedIn,White,Pending
APP00239,OPEN0013,Monique Douglas,2/17/2023,Applied,Indeed,White,Pending
APP00240,OPEN0013,Manuel Moore,2/14/2023,Interview,Indeed,White,Pending
APP00241,OPEN0013,Michael Grimes,2/20/2023,Screen,Indeed,Asian,Pending
APP00242,OPEN0013,Luke Rogers,2/23/2023,Hired,Indeed,Hispanic,Hired
APP00243,OPEN0013,Andre Boyle,2/25/2023,Interview,Indeed,Black,Pending
APP00244,OPEN0013,Mathew Lindsey,2/19/2023,Applied,Indeed,White,Pending
APP00245,OPEN0013,Thomas Ward,2/6/2023,Applied,Indeed,Black,Pending
APP00246,OPEN0013,Tracy Cohen,2/22/2023,Screen,Indeed,Asian,Pending
APP00247,OPEN0013,Jennifer Walker,2/6/2023,Offer,Indeed,White,Pending
APP00248,OPEN0013,Christopher Young,2/22/2023,Interview,Indeed,Hispanic,Pending
APP00249,OPEN0013,Jeremy Kelly,2/27/2023,Applied,Indeed,Black,Pending
APP00250,OPEN0013,Karen Smith,3/6/2023,Offer,Indeed,White,Pending
APP00251,OPEN0013,Robert Garcia,2/7/2023,Interview,Indeed,White,Pending
APP00252,OPEN0013,Matthew Olsen,3/4/2023,Screen,Indeed,White,Pending
APP00253,OPEN0013,Veronica Martinez,2/22/2023,Screen,Indeed,Asian,Pending
APP00254,OPEN0013,Lisa Miranda,3/4/2023,Applied,Indeed,White,Pending
APP00255,OPEN0013,Christopher Vazquez,2/6/2023,Applied,Indeed,White,Pending
APP00256,OPEN0013,Harry Webb,2/27/2023,Applied,Indeed,White,Pending
APP00257,OPEN0013,Dylan Ramirez,2/9/2023,Screen,Indeed,Black,Pending
APP00258,OPEN0013,Nancy Daniels,2/9/2023,Applied,Indeed,White,Pending
APP00259,OPEN0013,William Smith,2/20/2023,Interview,Indeed,White,Pending
APP00260,OPEN0013,Daniel Hurst,3/3/2023,Applied,Indeed,Black,Pending
APP00261,OPEN0014,Walter Sullivan,6/18/2019,Applied,Indeed,Black,Pending
APP00262,OPEN0014,Lisa Gordon,6/20/2019,Screen,Indeed,Asian,Pending
APP00263,OPEN0014,Amber Jackson,6/5/2019,Applied,Indeed,White,Pending
APP00264,OPEN0014,Robert Juarez,6/3/2019,Applied,Indeed,Asian,Pending
APP00265,OPEN0014,Emily Webb,6/21/2019,Applied,Indeed,Hispanic,Pending
APP00266,OPEN0014,Daniel Sanchez,6/19/2019,Applied,Indeed,Black,Pending
APP00267,OPEN0014,Brian Garza,6/20/2019,Applied,Indeed,White,Pending
APP00268,OPEN0014,Debbie Bailey,6/30/2019,Screen,Indeed,White,Pending
APP00269,OPEN0014,Monica Floyd,6/7/2019,Applied,Indeed,Hispanic,Pending
APP00270,OPEN0014,Nicholas Haley,6/24/2019,Applied,Indeed,Hispanic,Pending
APP00271,OPEN0014,Eugene Koch,6/24/2019,Screen,Indeed,White,Pending
APP00272,OPEN0015,Jack Chavez,2/8/2020,Screen,LinkedIn,Asian,Pending
APP00273,OPEN0015,Joseph Ray,1/31/2020,Screen,LinkedIn,White,Pending
APP00274,OPEN0015,Carlos Johns,1/25/2020,Applied,LinkedIn,White,Pending
APP00275,OPEN0015,Robert Solomon MD,1/24/2020,Interview,LinkedIn,Black,Pending
APP00276,OPEN0015,Melissa Rowe,1/16/2020,Applied,LinkedIn,White,Pending
APP00277,OPEN0015,Daniel Quinn,1/26/2020,Offer,LinkedIn,Black,Pending
APP00278,OPEN0015,Donald Sanford,1/27/2020,Applied,LinkedIn,Asian,Pending
APP00279,OPEN0015,Daniel Munoz,1/30/2020,Applied,LinkedIn,White,Pending
APP00280,OPEN0015,William Cochran,1/17/2020,Screen,LinkedIn,White,Pending
APP00281,OPEN0015,Jessica Austin,1/12/2020,Screen,LinkedIn,Hispanic,Pending
APP00282,OPEN0015,Adam Stewart,1/23/2020,Screen,LinkedIn,White,Pending
APP00283,OPEN0015,Stacy Jenkins,2/2/2020,Screen,LinkedIn,White,Pending
APP00284,OPEN0015,Michelle Aguilar,2/4/2020,Applied,LinkedIn,White,Pending
APP00285,OPEN0015,Ryan Jimenez,1/21/2020,Interview,LinkedIn,Black,Pending
APP00286,OPEN0015,Vincent Lopez,2/10/2020,Screen,LinkedIn,White,Pending
APP00287,OPEN0015,Andrea Kennedy,1/14/2020,Applied,LinkedIn,Asian,Pending
APP00288,OPEN0015,Jessica Cowan,1/17/2020,Interview,LinkedIn,White,Pending
APP00289,OPEN0015,Daniel Gutierrez,1/27/2020,Interview,LinkedIn,White,Pending
APP00290,OPEN0015,Kelly Morgan,2/8/2020,Interview,LinkedIn,White,Pending
APP00291,OPEN0016,Andrea Acosta,12/21/2020,Applied,Referral,White,Pending
APP00292,OPEN0016,Jessica Hughes,12/24/2020,Screen,Referral,White,Pending
APP00293,OPEN0016,Jonathan Richards,12/15/2020,Screen,Referral,Asian,Pending
APP00294,OPEN0016,Brian Townsend,12/8/2020,Applied,Referral,White,Pending
APP00295,OPEN0016,Stacey Miller,12/12/2020,Screen,Referral,Asian,Pending
APP00296,OPEN0016,Tasha Thompson,12/2/2020,Screen,Referral,Asian,Pending
APP00297,OPEN0016,Jasmine Osborn,11/27/2020,Screen,Referral,Black,Pending
APP00298,OPEN0016,Kimberly Russell,12/21/2020,Applied,Referral,Hispanic,Pending
APP00299,OPEN0016,Chelsea Mullins,12/24/2020,Applied,Referral,White,Pending
APP00300,OPEN0016,Benjamin Brooks,12/19/2020,Applied,Referral,White,Pending
APP00301,OPEN0016,Joseph Contreras,12/21/2020,Applied,Referral,White,Pending
APP00302,OPEN0016,Cassandra Robinson,12/17/2020,Screen,Referral,Black,Pending
APP00303,OPEN0016,Michelle Peterson,12/18/2020,Screen,Referral,White,Pending
APP00304,OPEN0016,James Anderson,12/5/2020,Applied,Referral,Black,Pending
APP00305,OPEN0017,Juan Nicholson,1/31/2023,Screen,Company Website,Hispanic,Pending
APP00306,OPEN0017,Ryan Schroeder,1/20/2023,Applied,Company Website,White,Pending
APP00307,OPEN0017,Sarah Clark,2/1/2023,Screen,Company Website,Black,Pending
APP00308,OPEN0017,Amy Anderson,1/23/2023,Applied,Company Website,White,Pending
APP00309,OPEN0017,Robert Johnson MD,2/3/2023,Applied,Company Website,Asian,Pending
APP00310,OPEN0017,Gregory Valenzuela,1/25/2023,Applied,Company Website,White,Pending
APP00311,OPEN0017,Nicholas Bush,2/1/2023,Screen,Company Website,Black,Pending
APP00312,OPEN0017,Erik Bennett,1/25/2023,Applied,Company Website,Black,Pending
APP00313,OPEN0017,Melissa Williams,1/11/2023,Applied,Company Website,Asian,Pending
APP00314,OPEN0017,John Little,2/1/2023,Applied,Company Website,Black,Pending
APP00315,OPEN0017,Sean Morgan,1/30/2023,Applied,Company Website,White,Pending
APP00316,OPEN0017,Regina Reed,1/26/2023,Applied,Company Website,Asian,Pending
